time, power, status
10.992, 1.41e-09, 0.00
11.316, 1.43e-09, 0.00
11.667, 1.36e-09, 0.00
12.011, 4.55e-09, 0.00
12.413, 2.55e-09, 0.00
12.742, 2.51e-09, 0.00
13.185, 1.56e-09, 0.00
13.535, 2.58e-09, 0.00
13.858, 2.59e-09, 0.00
14.261, 1.47e-09, 0.00
14.589, 1.12e-09, 0.00
14.934, 1.33e-09, 0.00
15.336, 1.51e-09, 0.00
15.687, 3.60e-09, 0.00
16.009, 1.41e-09, 0.00
16.431, 3.66e-09, 0.00
16.860, 4.08e-09, 0.00
17.184, 4.11e-09, 0.00
17.507, 1.58e-09, 0.00
17.876, 4.11e-09, 0.00
18.199, 2.57e-09, 0.00
18.607, 3.20e-09, 0.00
19.031, 3.52e-09, 0.00
19.389, 2.56e-09, 0.00
19.803, 2.61e-09, 0.00
20.228, 2.58e-09, 0.00
20.560, 2.63e-09, 0.00
20.986, 1.40e-09, 0.00
21.312, 2.05e-09, 0.00
21.641, 3.61e-09, 0.00
22.065, 1.48e-09, 0.00
22.389, 2.12e-09, 0.00
22.717, 1.16e-09, 0.00
23.142, 3.71e-09, 0.00
23.487, 1.45e-09, 0.00
23.876, 2.47e-09, 0.00
24.199, 2.55e-09, 0.00
24.629, 1.52e-09, 0.00
24.952, 2.62e-09, 0.00
25.276, 3.62e-09, 0.00
25.605, 2.62e-09, 0.00
25.950, 2.62e-09, 0.00
26.353, 1.43e-09, 0.00
26.703, 4.51e-09, 0.00
27.106, 2.69e-09, 0.00
27.430, 4.25e-09, 0.00
27.879, 1.70e-09, 0.00
28.304, 3.62e-09, 0.00
28.632, 2.61e-09, 0.00
29.057, 2.53e-09, 0.00
29.411, 2.77e-09, 0.00
29.810, 3.73e-09, 0.00
30.134, 2.58e-09, 0.00
30.460, 2.04e-09, 0.00
30.811, 1.56e-09, 0.00
31.138, 3.55e-09, 0.00
31.461, 1.84e-09, 0.00
31.869, 2.61e-09, 0.00
32.213, 2.57e-09, 0.00
32.621, 3.50e-09, 0.00
33.046, 1.61e-09, 0.00
33.368, 2.56e-09, 0.00
33.697, 1.40e-09, 0.00
34.140, 1.48e-09, 0.00
34.485, 3.52e-09, 0.00
34.811, 2.62e-09, 0.00
35.214, 3.48e-09, 0.00
35.543, 2.55e-09, 0.00
35.885, 1.51e-09, 0.00
36.230, 3.52e-09, 0.00
36.559, 2.55e-09, 0.00
36.961, 3.57e-09, 0.00
37.385, 3.82e-09, 0.00
37.713, 2.51e-09, 0.00
38.056, 1.45e-09, 0.00
38.400, 2.98e-09, 0.00
38.802, 2.64e-09, 0.00
39.132, 3.58e-09, 0.00
39.456, 2.57e-09, 0.00
39.786, 2.56e-09, 0.00
40.233, 1.42e-09, 0.00
40.666, 1.47e-09, 0.00
41.091, 1.59e-09, 0.00
41.515, 1.47e-09, 0.00
41.946, 1.47e-09, 0.00
42.269, 1.43e-09, 0.00
42.598, 1.56e-09, 0.00
43.042, 1.46e-09, 0.00
43.387, 1.64e-09, 0.00
43.795, 2.59e-09, 0.00
44.140, 2.52e-09, 0.00
44.548, 1.49e-09, 0.00
44.894, 3.60e-09, 0.00
45.277, 2.55e-09, 0.00
45.606, 2.55e-09, 0.00
46.049, 1.47e-09, 0.00
46.394, 1.70e-09, 0.00
46.802, 2.67e-09, 0.00
47.148, 2.58e-09, 0.00
47.556, 1.83e-09, 0.00
47.981, 3.67e-09, 0.00
48.405, 1.64e-09, 0.00
48.855, 1.38e-09, 0.00
49.272, 1.45e-09, 0.00
49.709, 1.45e-09, 0.00
50.136, 1.45e-09, 0.00
50.566, 1.49e-09, 0.00
50.993, 3.56e-09, 0.00
51.336, 2.62e-09, 0.00
51.686, 2.71e-09, 0.00
52.108, 3.15e-09, 0.00
52.538, 4.45e-09, 0.00
52.860, 2.56e-09, 0.00
53.203, 1.47e-09, 0.00
53.553, 2.08e-09, 0.00
53.876, 2.09e-09, 0.00
54.278, 1.37e-09, 0.00
54.708, 1.61e-09, 0.00
55.031, 1.40e-09, 0.00
55.373, 2.62e-09, 0.00
55.802, 1.52e-09, 0.00
56.147, 3.57e-09, 0.00
56.470, 2.34e-09, 0.00
56.879, 3.55e-09, 0.00
57.201, 1.43e-09, 0.00
57.530, 1.42e-09, 0.00
57.853, 2.59e-09, 0.00
58.216, 2.50e-09, 0.00
58.624, 4.13e-09, 0.00
