time, power, status
10.949, 2.01e-08, 0.00
11.279, 1.24e-08, 0.00
11.680, 2.04e-08, 0.00
12.024, 1.27e-08, 0.00
12.371, 2.57e-08, 0.00
12.790, 2.05e-08, 0.00
13.217, 2.06e-08, 0.00
13.557, 1.21e-08, 0.00
13.979, 1.11e-08, 0.00
14.406, 1.11e-08, 0.00
14.726, 1.67e-08, 0.00
15.066, 1.12e-08, 0.00
15.493, 1.12e-08, 0.00
15.836, 1.12e-08, 0.00
16.161, 1.68e-08, 0.00
16.562, 1.11e-08, 0.00
17.002, 1.15e-08, 0.00
17.350, 1.40e-08, 0.00
17.670, 1.69e-08, 0.00
18.070, 1.25e-08, 0.00
18.517, 1.26e-08, 0.00
18.958, 1.25e-08, 0.00
19.305, 2.56e-08, 0.00
19.696, 2.01e-08, 0.00
20.044, 2.64e-08, 0.00
20.392, 1.24e-08, 0.00
20.795, 2.04e-08, 0.00
21.122, 1.12e-08, 0.00
21.465, 2.04e-08, 0.00
21.807, 2.01e-08, 0.00
22.212, 2.63e-08, 0.00
22.533, 2.03e-08, 0.00
22.872, 1.24e-08, 0.00
23.299, 1.26e-08, 0.00
23.619, 1.66e-08, 0.00
23.959, 1.11e-08, 0.00
24.385, 1.11e-08, 0.00
24.727, 1.11e-08, 0.00
25.047, 1.68e-08, 0.00
25.452, 1.12e-08, 0.00
25.873, 1.11e-08, 0.00
26.199, 1.68e-08, 0.00
26.519, 1.70e-08, 0.00
26.960, 1.11e-08, 0.00
27.386, 1.11e-08, 0.00
27.808, 1.10e-08, 0.00
28.133, 1.10e-08, 0.00
28.454, 1.07e-08, 0.00
28.894, 1.12e-08, 0.00
29.241, 1.42e-08, 0.00
29.654, 2.04e-08, 0.00
30.082, 2.04e-08, 0.00
30.429, 1.22e-08, 0.00
30.773, 2.59e-08, 0.00
31.184, 2.03e-08, 0.00
31.523, 1.19e-08, 0.00
31.965, 2.61e-08, 0.00
32.312, 1.22e-08, 0.00
32.732, 2.04e-08, 0.00
33.159, 2.03e-08, 0.00
33.499, 1.22e-08, 0.00
33.940, 1.22e-08, 0.00
34.287, 2.61e-08, 0.00
34.608, 2.04e-08, 0.00
35.027, 2.58e-08, 0.00
35.375, 1.27e-08, 0.00
35.776, 2.19e-08, 0.00
36.121, 1.07e-08, 0.00
36.463, 1.11e-08, 0.00
36.783, 1.67e-08, 0.00
37.189, 1.11e-08, 0.00
37.610, 1.11e-08, 0.00
37.951, 2.09e-08, 0.00
38.298, 2.04e-08, 0.00
38.698, 2.50e-08, 0.00
39.038, 2.06e-08, 0.00
39.458, 2.05e-08, 0.00
39.804, 1.24e-08, 0.00
40.153, 2.59e-08, 0.00
40.474, 1.24e-08, 0.00
40.877, 2.53e-08, 0.00
41.207, 2.03e-08, 0.00
41.546, 1.21e-08, 0.00
41.987, 1.47e-08, 0.00
42.414, 1.09e-08, 0.00
42.755, 1.75e-08, 0.00
43.076, 1.74e-08, 0.00
43.480, 1.11e-08, 0.00
43.902, 1.07e-08, 0.00
44.328, 1.11e-08, 0.00
44.649, 1.69e-08, 0.00
44.988, 1.10e-08, 0.00
45.415, 1.09e-08, 0.00
45.756, 1.11e-08, 0.00
46.077, 1.93e-08, 0.00
46.482, 1.11e-08, 0.00
46.922, 1.09e-08, 0.00
47.348, 1.11e-08, 0.00
47.770, 1.11e-08, 0.00
48.095, 1.70e-08, 0.00
48.416, 1.10e-08, 0.00
48.856, 1.11e-08, 0.00
49.283, 1.10e-08, 0.00
