time, power, status
3822.839, 4.00e-09, 0.00
3823.254, 3.89e-09, 0.00
3823.678, 3.97e-09, 0.00
3824.102, 4.07e-09, 0.00
3824.512, 4.11e-09, 0.00
3824.936, 3.94e-09, 0.00
3825.346, 4.08e-09, 0.00
3825.771, 4.00e-09, 0.00
3826.180, 4.07e-09, 0.00
3826.585, 3.90e-09, 0.00
3826.908, 5.82e-09, 0.00
3827.319, 5.83e-09, 0.00
3827.642, 5.83e-09, 0.00
3828.047, 4.16e-09, 0.00
3828.476, 4.08e-09, 0.00
3828.881, 4.03e-09, 0.00
3829.210, 5.83e-09, 0.00
3829.615, 5.83e-09, 0.00
3829.938, 4.10e-09, 0.00
3830.348, 4.16e-09, 0.00
3830.772, 4.00e-09, 0.00
3831.183, 4.39e-09, 0.00
3831.607, 4.09e-09, 0.00
3832.043, 5.44e-09, 0.00
3832.441, 4.00e-09, 0.00
3832.866, 5.34e-09, 0.00
3833.281, 4.02e-09, 0.00
3833.706, 4.35e-09, 0.00
3834.114, 4.15e-09, 0.00
3834.545, 5.23e-09, 0.00
3834.949, 4.11e-09, 0.00
3835.380, 3.97e-09, 0.00
3835.785, 4.02e-09, 0.00
3836.215, 4.13e-09, 0.00
3836.620, 4.34e-09, 0.00
3837.045, 3.94e-09, 0.00
3837.455, 4.18e-09, 0.00
3837.880, 3.99e-09, 0.00
3838.290, 4.18e-09, 0.00
3838.695, 3.97e-09, 0.00
3839.119, 4.07e-09, 0.00
3839.530, 4.09e-09, 0.00
3839.955, 4.13e-09, 0.00
3840.366, 4.08e-09, 0.00
3840.789, 3.97e-09, 0.00
3841.201, 3.98e-09, 0.00
3841.605, 4.05e-09, 0.00
3842.030, 3.98e-09, 0.00
3842.440, 3.93e-09, 0.00
3842.866, 3.98e-09, 0.00
3843.288, 3.99e-09, 0.00
3843.700, 3.89e-09, 0.00
3844.106, 3.99e-09, 0.00
3844.519, 3.93e-09, 0.00
3844.947, 3.99e-09, 0.00
3845.357, 4.09e-09, 0.00
3845.781, 3.98e-09, 0.00
3846.191, 3.94e-09, 0.00
3846.616, 4.09e-09, 0.00
3847.020, 3.94e-09, 0.00
3847.370, 3.99e-09, 0.00
3847.753, 5.91e-09, 0.00
3848.099, 5.78e-09, 0.00
3848.487, 5.15e-09, 0.00
3848.832, 3.92e-09, 0.00
3849.221, 5.83e-09, 0.00
3849.566, 5.93e-09, 0.00
3849.949, 3.99e-09, 0.00
3850.258, 4.03e-09, 0.00
3850.681, 5.87e-09, 0.00
3851.005, 4.04e-09, 0.00
3851.415, 4.00e-09, 0.00
3851.839, 3.94e-09, 0.00
3852.268, 4.28e-09, 0.00
3852.673, 3.95e-09, 0.00
3853.018, 4.09e-09, 0.00
3853.421, 5.86e-09, 0.00
3853.811, 5.91e-09, 0.00
3854.141, 4.14e-09, 0.00
3854.550, 4.03e-09, 0.00
3854.975, 4.08e-09, 0.00
3855.389, 3.98e-09, 0.00
3855.814, 4.19e-09, 0.00
3856.224, 4.09e-09, 0.00
3856.630, 4.10e-09, 0.00
3857.054, 4.02e-09, 0.00
3857.465, 3.94e-09, 0.00
3857.889, 3.97e-09, 0.00
3858.300, 4.05e-09, 0.00
3858.724, 4.00e-09, 0.00
3859.135, 3.93e-09, 0.00
3859.540, 3.99e-09, 0.00
3859.965, 4.16e-09, 0.00
3860.375, 3.97e-09, 0.00
3860.800, 3.93e-09, 0.00
3861.210, 3.99e-09, 0.00
3861.635, 4.05e-09, 0.00
3862.040, 3.92e-09, 0.00
3862.450, 4.02e-09, 0.00
3862.875, 3.98e-09, 0.00
3863.286, 4.19e-09, 0.00
3863.630, 4.50e-09, 0.00
3864.015, 5.88e-09, 0.00
3864.437, 5.82e-09, 0.00
3864.850, 5.81e-09, 0.00
3865.264, 5.84e-09, 0.00
3865.609, 5.84e-09, 0.00
3865.997, 4.00e-09, 0.00
3866.406, 3.95e-09, 0.00
3866.831, 4.28e-09, 0.00
3867.241, 3.97e-09, 0.00
3867.564, 5.88e-09, 0.00
3867.909, 3.99e-09, 0.00
3868.298, 4.08e-09, 0.00
3868.702, 3.83e-09, 0.00
3869.132, 3.98e-09, 0.00
3869.556, 4.11e-09, 0.00
3869.961, 3.95e-09, 0.00
3870.390, 4.13e-09, 0.00
3870.795, 4.03e-09, 0.00
3871.119, 5.82e-09, 0.00
3871.529, 5.77e-09, 0.00
3871.852, 5.83e-09, 0.00
3872.263, 3.97e-09, 0.00
3872.686, 4.19e-09, 0.00
3873.111, 3.98e-09, 0.00
3873.520, 4.30e-09, 0.00
3873.945, 4.08e-09, 0.00
3874.355, 3.98e-09, 0.00
